Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,Season
2001-11-24,Southampton,Charlton,1,0,H,0,0,D,15,7,8,4,10,16,10,5,0,1,0,0,D. J. Gallagher,2001/02
2001-11-24,West Ham,Tottenham,0,1,A,0,0,D,10,10,6,3,18,13,4,2,2,2,0,0,D. R. Elleray,2001/02
2001-11-25,Arsenal,Man United,3,1,H,0,1,A,14,2,10,1,12,19,11,2,2,3,0,0,P. Jones,2001/02
2001-11-25,Leeds,Aston Villa,1,1,D,1,1,D,16,15,9,8,15,15,7,6,2,2,1,0,N. S. Barry,2001/02
2001-11-25,Liverpool,Sunderland,1,0,H,1,0,H,7,12,3,5,9,12,4,3,1,3,1,0,S. G. Bennett,2001/02
2001-11-25,Middlesbrough,Ipswich,0,0,D,0,0,D,9,11,4,3,5,8,3,5,0,0,0,0,D. Pugh,2001/02
2001-12-01,Aston Villa,Leicester,0,2,A,0,1,A,11,6,7,4,8,14,7,8,0,4,1,0,S. G. Bennett,2001/02
2001-12-01,Blackburn,Middlesbrough,0,1,A,0,1,A,14,8,4,5,8,9,7,3,1,2,0,0,B. Knight,2001/02
2001-12-01,Charlton,Newcastle,1,1,D,0,0,D,15,12,7,6,7,11,3,7,1,2,0,1,A. P. D'Urso,2001/02
2001-12-01,Derby,Liverpool,0,1,A,0,1,A,12,7,4,5,9,14,5,9,1,2,0,0,G. P. Barber,2001/02
2001-12-01,Ipswich,Arsenal,0,2,A,0,1,A,7,7,2,3,4,9,12,5,0,2,0,0,D. R. Elleray,2001/02
2001-12-01,Man United,Chelsea,0,3,A,0,1,A,12,14,5,5,9,16,7,2,2,3,0,0,A. G. Wiley,2001/02
2001-12-01,Sunderland,West Ham,1,0,H,0,0,D,15,10,6,5,12,16,3,3,3,0,0,0,P. Jones,2001/02
2001-12-02,Everton,Southampton,2,0,H,0,0,D,13,10,7,4,19,13,5,6,0,1,0,0,J.T. Winter,2001/02
2001-12-02,Fulham,Leeds,0,0,D,0,0,D,13,6,5,5,11,21,5,5,1,2,0,0,G. Poll,2001/02
2001-12-03,Tottenham,Bolton,3,2,H,0,1,A,14,9,6,6,10,14,5,6,0,2,0,0,P. A. Durkin,2001/02
2001-12-05,Chelsea,Charlton,0,1,A,0,0,D,20,11,5,5,13,10,8,1,1,1,0,0,D. J. Gallagher,2001/02
2001-12-05,West Ham,Aston Villa,1,1,D,0,1,A,14,12,8,5,10,15,5,6,2,1,0,0,M. L Dean,2001/02
2001-12-08,Charlton,Tottenham,3,1,H,2,0,H,11,14,6,5,10,12,9,9,3,1,0,0,S. W. Dunn,2001/02
2001-12-08,Derby,Bolton,1,0,H,0,0,D,16,6,6,3,11,24,5,4,0,4,0,0,M. D. Messias,2001/02
2001-12-08,Fulham,Everton,2,0,H,1,0,H,10,5,4,3,15,25,6,7,2,4,1,1,P. Dowd,2001/02
2001-12-08,Leicester,Southampton,0,4,A,0,1,A,8,10,4,5,13,15,5,4,1,0,0,0,G. Poll,2001/02
2001-12-08,Liverpool,Middlesbrough,2,0,H,2,0,H,8,4,5,2,7,10,4,6,0,2,0,0,D. J. Gallagher,2001/02
2001-12-08,Man United,West Ham,0,1,A,0,0,D,17,8,6,4,18,8,12,4,5,3,0,0,P. A. Durkin,2001/02
2001-12-09,Arsenal,Aston Villa,3,2,H,0,2,A,15,8,8,5,18,14,9,3,4,0,0,0,A. G. Wiley,2001/02
2001-12-09,Blackburn,Leeds,1,2,A,0,0,D,14,10,6,7,15,18,8,7,1,5,0,0,A. P. D'Urso,2001/02
2001-12-09,Ipswich,Newcastle,0,1,A,0,1,A,9,7,5,5,3,3,8,2,3,1,0,0,R. Styles,2001/02
2001-12-09,Sunderland,Chelsea,0,0,D,0,0,D,11,10,6,3,11,15,6,6,1,3,0,0,N. S. Barry,2001/02
2001-12-12,Liverpool,Fulham,0,0,D,0,0,D,16,8,7,4,17,11,7,3,0,0,0,0,J. T. Winter,2001/02
2001-12-12,Man United,Derby,5,0,H,2,0,H,20,8,11,5,8,13,5,6,1,2,0,0,M. R. Halsey,2001/02
2001-12-15,Bolton,Charlton,0,0,D,0,0,D,13,6,6,4,13,13,7,4,1,2,0,0,C. J. Foy,2001/02
2001-12-15,Everton,Derby,1,0,H,0,0,D,22,3,12,2,9,15,9,3,1,1,0,0,C. R. Wilkes,2001/02
2001-12-15,Middlesbrough,Man United,0,1,A,0,0,D,6,14,3,5,11,14,5,8,2,3,0,0,D. R. Elleray,2001/02
2001-12-15,Newcastle,Blackburn,2,1,H,0,1,A,15,8,6,6,8,15,10,6,0,3,0,0,S. W. Dunn,2001/02
2001-12-15,Southampton,Sunderland,2,0,H,1,0,H,14,5,5,3,11,13,3,1,1,2,0,0,D. Pugh,2001/02
2001-12-15,Tottenham,Fulham,4,0,H,2,0,H,10,12,6,1,18,15,3,6,3,2,0,0,N. S. Barry,2001/02
2001-12-15,West Ham,Arsenal,1,1,D,1,1,D,8,16,4,6,10,14,7,6,4,3,0,0,M. A. Riley,2001/02
2001-12-16,Chelsea,Liverpool,4,0,H,2,0,H,16,16,10,8,15,10,5,6,2,3,0,0,M. R. Halsey,2001/02
2001-12-16,Leeds,Leicester,2,2,D,1,0,H,14,5,7,4,6,15,8,3,1,3,0,0,R. Styles,2001/02
2001-12-17,Aston Villa,Ipswich,2,1,H,1,1,D,10,14,5,3,16,10,1,4,0,1,0,0,M. L Dean,2001/02
2001-12-18,Arsenal,Newcastle,1,3,A,1,0,H,19,4,8,3,10,19,4,4,3,3,1,1,G. Poll,2001/02
2001-12-19,Leeds,Everton,3,2,H,2,0,H,18,8,7,3,12,13,5,2,1,1,0,0,P. Jones ,2001/02
2001-12-22,Charlton,Blackburn,0,2,A,0,0,D,10,7,2,4,16,19,4,3,2,3,0,0,"Wiley, A. G.",2001/02
2001-12-22,Derby,Aston Villa,3,1,H,1,1,D,10,10,7,3,11,15,4,5,0,1,0,0,"Elleray, D. R.",2001/02
2001-12-22,Leeds,Newcastle,3,4,A,1,1,D,15,13,6,7,19,17,2,9,2,1,0,0,"Winter, J. T.",2001/02
2001-12-22,Leicester,West Ham,1,1,D,1,0,H,10,7,4,3,8,15,6,7,2,2,1,0,"Wolstenholme, E. K.",2001/02
2001-12-22,Man United,Southampton,6,1,H,3,0,H,12,6,7,3,13,10,8,6,1,1,0,0,"Dunn, S. W.",2001/02
2001-12-22,Sunderland,Everton,1,0,H,0,0,D,10,8,5,5,18,15,6,5,1,4,0,0,"Knight, B.",2001/02
2001-12-22,Tottenham,Ipswich,1,2,A,1,1,D,12,12,6,4,22,16,9,5,1,2,1,0,"Riley, M. A.",2001/02
2001-12-23,Chelsea,Bolton,5,1,H,2,1,H,16,10,5,4,7,21,4,4,2,2,0,0,"Rennie, U. D.",2001/02
2001-12-23,Liverpool,Arsenal,1,2,A,0,1,A,15,11,2,3,12,20,6,4,1,4,0,1,"Durkin, P. A.",2001/02
2001-12-26,Arsenal,Chelsea,2,1,H,0,1,A,11,9,7,3,18,21,4,5,2,4,0,0,"Barber, G. P.",2001/02
2001-12-26,Aston Villa,Liverpool,1,2,A,1,1,D,10,12,5,6,10,9,7,3,1,0,0,0,"D'Urso, A. P.",2001/02
2001-12-26,Blackburn,Sunderland,0,3,A,0,2,A,7,13,3,7,24,23,3,5,1,2,1,0,"Wilkes, C. R.",2001/02
2001-12-26,Bolton,Leeds,0,3,A,0,2,A,17,8,2,5,15,20,11,2,1,3,0,0,"Wiley, A. G.",2001/02
2001-12-26,Everton,Man United,0,2,A,0,0,D,10,11,5,7,11,12,4,11,0,1,0,0,"Rennie, U. D.",2001/02
2001-12-26,Fulham,Charlton,0,0,D,0,0,D,10,8,4,3,5,14,4,9,2,1,0,0,"Bennett, S. G.",2001/02
2001-12-26,Ipswich,Leicester,2,0,H,0,0,D,12,3,6,1,2,6,3,10,0,2,0,0,"Barry, N. S.",2001/02
2001-12-26,Newcastle,Middlesbrough,3,0,H,1,0,H,18,5,9,2,18,12,10,2,0,1,0,0,"Halsey, M. R.",2001/02
2001-12-26,Southampton,Tottenham,1,0,H,0,0,D,6,10,5,6,15,16,4,13,0,3,0,0,"Jones, P.",2001/02
2001-12-26,West Ham,Derby,4,0,H,1,0,H,14,6,9,3,13,19,3,1,1,3,0,1,"Poll, G.",2001/02
2001-12-29,Arsenal,Middlesbrough,2,1,H,0,1,A,16,3,6,2,17,13,9,1,3,4,0,0,"D'Urso, A. P.",2001/02
2001-12-29,Aston Villa,Tottenham,1,1,D,0,1,A,12,7,7,4,12,10,12,1,0,3,0,0,"Wolstenholme, E. K.",2001/02
2001-12-29,Blackburn,Derby,0,1,A,0,1,A,16,7,5,5,13,20,13,4,2,4,0,0,"Pugh, D.",2001/02
2001-12-29,Bolton,Leicester,2,2,D,1,2,A,5,14,3,8,11,15,4,10,2,3,2,1,"Riley, M. A.",2001/02
2001-12-29,Everton,Charlton,0,3,A,0,1,A,7,8,3,4,16,12,3,6,1,3,0,0,"Barber, G. P.",2001/02
2001-12-29,Ipswich,Sunderland,5,0,H,4,0,H,13,10,8,3,6,4,3,3,1,1,0,0,"Poll, G.",2001/02
2001-12-29,Newcastle,Chelsea,1,2,A,1,2,A,10,12,7,8,11,21,5,3,0,3,0,0,"Bennett, S. G.",2001/02
2001-12-29,Southampton,Leeds,0,1,A,0,0,D,12,13,6,7,17,15,3,5,1,1,0,0,"Halsey, M. R.",2001/02
2001-12-29,West Ham,Liverpool,1,1,D,1,0,H,17,12,8,8,5,8,9,5,1,0,0,0,"Styles, R.",2001/02
2001-12-30,Fulham,Man United,2,3,A,1,2,A,17,19,9,10,14,8,4,3,0,2,0,0,"Gallagher, D. J.",2001/02
2002-01-01,Charlton,Ipswich,3,2,H,2,2,D,13,6,8,4,19,12,11,4,2,2,0,0,"Rennie, U. D.",2001/02
2002-01-01,Chelsea,Southampton,2,4,A,2,1,H,13,8,6,5,14,18,2,6,2,1,0,0,"Wolstenholme, E. K.",2001/02
2002-01-01,Leeds,West Ham,3,0,H,2,0,H,12,9,11,4,15,8,8,6,3,2,0,0,"Dunn, S. W.",2001/02
2002-01-01,Liverpool,Bolton,1,1,D,0,0,D,15,7,5,6,8,15,4,8,1,4,0,0,"Wilkes, C. R.",2001/02
